1. trenutak: 3.030190765423296 $, 38.55528785406927 kW, [4, 12, 13]

2. trenutak: 2.7438753953463926 $, 34.192386976706935 kW, [4, 12, 13]

3. trenutak: 2.20026057063748 $, 33.5277801239997 kW, [12, 13, 14]

4. trenutak: 1.4982328992748397 $, 22.830215607997555 kW, [12, 13, 14]

5. trenutak: 1.3635555460226119 $, 20.777989272725513 kW, [12, 13, 14]

6. trenutak: 1.95157647226649 $, 29.738308148822703 kW, [12, 13, 14]

7. trenutak: 5.4967051332430525 $, 83.75931631608461 kW, [12, 13, 14]

8. trenutak: 6.152720308147144 $, 93.75573802890885 kW, [12, 13, 14]

9. trenutak: 6.8787878129985485 $, 104.81962381712073 kW, [12, 13, 14]

10. trenutak: 4.812928119502111 $, 73.33985705907978 kW, [12, 13, 14]

11. trenutak: 7.769970191871244 $, 118.39954578089514 kW, [12, 13, 14]

12. trenutak: 7.165899092254386 $, 109.19465283435254 kW, [12, 13, 14]

13. trenutak: 6.747297717441989 $, 102.81596521816364 kW, [12, 13, 14]

14. trenutak: 6.7472998889605424 $, 102.81599830797016 kW, [12, 13, 14]

15. trenutak: 5.71566963240232 $, 87.09591820803534 kW, [12, 13, 14]

16. trenutak: 8.331762526860825 $, 126.96019088549826 kW, [12, 13, 14]

17. trenutak: 6.561589962731767 $, 92.36708514638883 kW, [4, 12, 13]

18. trenutak: 6.1052194291331 $, 85.41286749155199 kW, [4, 12, 13]

19. trenutak: 6.6532843077916235 $, 93.76433230920568 kW, [4, 12, 13]

20. trenutak: 5.561547956378215 $, 77.12834981147756 kW, [4, 12, 13]

21. trenutak: 4.518972997513784 $, 61.24149329544814 kW, [4, 12, 13]

22. trenutak: 3.8118202879215266 $, 50.465832958804214 kW, [4, 12, 13]

23. trenutak: 3.3254437832865547 $, 43.05438145960464 kW, [4, 12, 13]

24. trenutak: 3.030190765423296 $, 38.55528785406927 kW, [4, 12, 13]

